apt_name,trade_price,jeonse_price,gap_man,gap_ratio,region_code,region_name
반포써밋,360333.3333333333,150700.0,209633.3333333333,0.5818,11650,서울서초구
반포자이,602600.0,171324.96153846153,431275.0384615385,0.7157,11650,서울서초구
반포힐스테이트,410000.0,144666.66666666666,265333.3333333334,0.6472,11650,서울서초구
방배1차현대홈타운,223500.0,89666.66666666667,133833.3333333333,0.5988,11650,서울서초구
방배2차현대홈타운,298000.0,103333.33333333333,194666.6666666667,0.6532,11650,서울서초구
방배3차e-편한세상,370000.0,241666.66666666666,128333.33333333334,0.3468,11650,서울서초구
방배그랑자이,243000.0,138433.33333333334,104566.66666666666,0.4303,11650,서울서초구
방배비젼21빌라트,194000.0,135000.0,59000.0,0.3041,11650,서울서초구
방배신삼호,380000.0,85000.0,295000.0,0.7763,11650,서울서초구
방배우성,247500.0,79475.0,168025.0,0.6789,11650,서울서초구
삼성래미안1,211500.0,90550.0,120950.0,0.5719,11650,서울서초구
삼성서초가든스위트,420000.0,190000.0,230000.0,0.5476,11650,서울서초구
삼풍아파트,370000.0,107682.03125,262317.96875,0.709,11650,서울서초구
삼호1동~3동,251000.0,70875.0,180125.0,0.7176,11650,서울서초구
서리풀e편한세상,261000.0,125666.66666666667,135333.3333333333,0.5185,11650,서울서초구
서초2차e-편한세상,246000.0,119166.66666666667,126833.33333333333,0.5156,11650,서울서초구
서초교대e편한세상,306666.6666666667,112227.5,194439.1666666667,0.634,11650,서울서초구
서초그랑자이,360000.0,170214.2857142857,189785.7142857143,0.5272,11650,서울서초구
서초네이처힐2단지,130000.0,35121.76190476191,94878.23809523809,0.7298,11650,서울서초구
서초네이처힐3단지,209000.0,64418.76470588235,144581.23529411765,0.6918,11650,서울서초구
서초네이처힐6단지,190000.0,86100.0,103900.0,0.5468,11650,서울서초구
서초더샵포레,187250.0,81718.5,105531.5,0.5636,11650,서울서초구
서초동롯데캐슬리버티,180000.0,114000.0,66000.0,0.3667,11650,서울서초구
서초동삼성쉐르빌2,42750.0,39775.0,2975.0,0.0696,11650,서울서초구
서초래미안,284000.0,110885.71428571429,173114.2857142857,0.6096,11650,서울서초구
서초롯데캐슬프레지던트,335000.0,144403.33333333334,190596.66666666666,0.5689,11650,서울서초구
서초벽산블루밍,200000.0,129150.0,70850.0,0.3542,11650,서울서초구
서초센트럴IPARK,223750.0,112500.0,111250.0,0.4972,11650,서울서초구
서초이오빌,37000.0,32900.0,4100.0,0.1108,11650,서울서초구
서초포레스타3단지,194000.0,62098.142857142855,131901.85714285716,0.6799,11650,서울서초구
서초포레스타6단지,170000.0,61451.833333333336,108548.16666666666,0.6385,11650,서울서초구
서초푸르지오써밋,412000.0,125659.84615384616,286340.1538461539,0.695,11650,서울서초구
서초현대,168500.0,90875.0,77625.0,0.4607,11650,서울서초구
서초힐스,202000.0,78446.66666666667,123553.33333333333,0.6117,11650,서울서초구
신반포2,465000.0,63600.0,401400.0,0.8632,11650,서울서초구
신반포4,445000.0,86812.5,358187.5,0.8049,11650,서울서초구
아크로리버뷰신반포,446666.6666666667,181000.0,265666.6666666667,0.5948,11650,서울서초구
아크로리버파크,980000.0,161964.33333333334,818035.6666666666,0.8347,11650,서울서초구
아크로비스타,337500.0,218750.0,118750.0,0.3519,11650,서울서초구
우성KBS(113동),208000.0,69250.0,138750.0,0.6671,11650,서울서초구
우성아파트,205000.0,77833.33333333333,127166.66666666667,0.6203,11650,서울서초구
유원서초,257000.0,96333.33333333333,160666.6666666667,0.6252,11650,서울서초구
임광,276000.0,95000.0,181000.0,0.6558,11650,서울서초구
중앙하이츠,249500.0,102500.0,147000.0,0.5892,11650,서울서초구
진흥아파트,388215.0,72666.66666666667,315548.3333333333,0.8128,11650,서울서초구
킴스빌리지,155000.0,42133.333333333336,112866.66666666666,0.7282,11650,서울서초구
한강,312500.0,91100.0,221400.0,0.7085,11650,서울서초구
한라,154500.0,47918.0,106582.0,0.6899,11650,서울서초구
